,Id/Reply-Id,User,Comment,Date,Likes,Reply To CommentId,Link,Filename
38,23,babys_seelenreich_bei_doris,"Und wie geht es Dir mit den Befehlen die fritz hat? Damit dass sie Dörfer dem Erdboden gleich machen, Millionen russische Männer, Frauen. Kinder greuellichst umbringen. Er mitmacht oder zusieht.
Mein Großvater war einer von ihnen. Er hat dafür in russischer Gefangenschaft bezahlt und über alles nur einen Satz gesagt: wenn die Russen mit uns das Gleiche gemacht hätten wie wir mit ihnen, hätte keiner von uns überlebt.
@ichbinsophiescholl , wie gehst du damit um? Was macht das mit Dir?",2021-11-21T17:18:13.000Z,1 like,-,https://www.instagram.com/p/CWi3Eg0qS2a/,comments-6591898246194155205.csv
13,13,kathrinkollmer,Mein Großvater Mütterlicher Seite kam aus der Ukraine 44 in Deutschland als Zwangsarbeiter an. 😢Seine Liebe zur Großmutter in der er verliebt war hielten sie Geheim wegen der GESTAPO und der SS in Straubing nach dem Krieg Mai 45 wollte er seine Familie suchen doch es gab kein Lebenszeichen 😢😢,2021-05-30T13:45:54.000Z,0,-,https://www.instagram.com/p/CPdrSgmHJ40/,comments5985912540677325883.csv
90,68,stefanesser8315,"Mein Ur-Großvater, saß mehrere Male im #ELDEHaus in Köln eingesessen, weil er sich ruhig mit der SA angelegt, weil in der Öffentlichkeit den Hitlergruß verweigerte und durch seine Nachbarschaft gerufen hat: ""Du kannst deinem Fähnlein Führer sagen, dass ich Deine HJ-Uniform gefressen habe"".",2021-07-29T16:18:35.000Z,0,-,https://www.instagram.com/p/CR6bBaMMf-N/,comments-8602687962045849809.csv
209,127-13,ichbinjuedin_ichbindeutsche,"@elalalilou hallo. Meine Großeltern waren Juden, mein Großvater war Offizier im 1. Weltkrieg und arbeitete für den Regierungspräsidten von Münster. Er glaubte, dass er und seine Familie sicher sein werden. Zudem war er der Ansicht viele große Künstler:innen der Vergangenheit waren Juden und Deutschland kulturelle geprägt haben. Deshalb haben sie nicht an Flucht gedacht bis mein Großvater in seiner Dienststelle verhaftet wurde. Meine Großmutter wurde gewarnt und konnte sich verstecken. Im Gegensatz zu vielen anderen entschieden sie nach der Befreiung in Deutschland zu bleiben und als ich irgendwann fragte warum bekam ich die Antwort: ""dies ist auch unsere Land.",2021-07-29T19:29:53.000Z,10 likes,127,https://www.instagram.com/p/CR6bBaMMf-N/,comments-8602687962045849809.csv
80,69,kaja0301,"Bücher sind sooo toll. Ich bin immer noch ganz traurig, wenn ein Buch zu Ende ist und man sich von den Protagonisten verabschieden soll. Ich kann gut nachvollziehen, wenn Kindheitserinnerungen an einem Buch hängen. Deine sind mit dem Steuwelpeter verbunden. Der Umgang mit den Kindern ist halt fragwürdig. Alles hat seine Zeit. Wilhelm Busch gab es auf dem kuscheligen Schoß meines Großvaters vorgelesen. “Mary Poppins” als Bilderbuch mit den wundervollen viktorianischen Kleidern und Kinderspielzeug, “Pu der Bär und Mein Urgroßvater und ich haben meine Kindheit geprägt😉.",2021-05-22T14:13:38.000Z,4 likes,-,https://www.instagram.com/p/CPLRi48nrz7/,comments8355353662295954093.csv
34,20,jonas_mkn,"Meine Urgroßeltern hatten einen Obst- und Gemüseladen in Hamburg. Meine Urgroßmutter hat den Laden komplett alleine geschmissen, weil mein Urgroßvater in einer Kaserne in Harburg stationiert war - nur zum Kartoffeln verladen half er, dafür fuhr sie mit dem LKW alleine den Weg nach Harburg und ließ ihren Gatten vom Dienst befreien, zur Versorgung der Bevölkerung. Das passierte häufiger und als er eines Tages vom Kartoffen verladen zurückkehrte, war er der Einzige überlebende seiner Einheit, weil in der Zwischenzeit die Harburger Kaserne ausgebombt wurde. Das ist ein wichtiger Baustein unserer Familiengeschichte.",2021-09-08T09:20:25.000Z,89 likes,-,https://www.instagram.com/p/CTjMDCrjFP6/,comments4768888214613560086.csv
28,17-5,ichbinjuedin_ichbindeutsche,"@ulrikemunner es gab aber auch viele die diese Lage ausnutzen. Mein Großvater war Offizier im 1. Weltkrieg und arbeitete im Büro des Regierungspräsidenten in Münster deshalb glaubte er sicher zu sein. 1939 gehörte er zu den ersten Juden, die verhaftet wurden, seine Frau wurde gewarnt und konnte hochschwanger flüchten. Sie versteckte sich auf einem kleinen Bauernhof im Münsterland und bekam hier ihr Kind, etwa nach einem Jahr erpresste der Bauer sie zum Sex und schließlich wurde sie schwanger und brachte 1942 eine Tochter zur Welt. Nach dem Kriegsende, der Befreiung und dem wiederfinden seiner Familie erkannte mein Großvater sie als seine Tochter an. Aber es gab Spannungen und Konflikte, die selbst wir Kinder (ich bin 1964 geboren) mitbekamen. Mein Großvater hat seinen Sohn (mein Vater) geliebt weil er sein Sohn und Stammhalter war, aber er hat ihn auch verabscheut denn seinetwegen lieferte sich meine Großmutter diesem Bauern aus. Mein Großvater hat meine Tante irgendwie geliebt denn ihretwegen waren meine Großmutter und mein Vater in Sicherheit, aber als Tochter eines Nazis hat er sie auch verabscheut.",2021-08-22T18:00:27.000Z,2 likes,17,https://www.instagram.com/p/CS1bkb8sZJn/,comments1630443717066312072.csv
38,22-3,fraunora.h,"@zuagroastebayrischeschwaebin Zur Papierknappheit: Das war durchaus ein Thema. Vor allem Richtung 1943. Da wurden die Seiten, die den Gefangenen zur Verfügung gestellt wurden für Briefe nochmal deutlich reduziert. Mein Großvater musste deshalb entscheiden, ob er das Papier für Briefe an die Familie nutzt oder, um eine Neuansetzung seines Verhandlungstermin zu erbitten und Briefe an den Volksgerichtshof zu senden. Er ließ sich Papier von seiner Familie schicken, um darauf zB die nochmalige Vorladung von Zeug:innen zu verlangen, einige von ihnen waren zu diesem Zeitpunkt allerdings längst von den Nazis hingerichtet worden, was er nicht wusste. In einigen seiner Briefe aus der Haft sind Stellen geschwärzt, weil sie zensiert wurden.",2021-09-14T10:39:53.000Z,5 likes,22,https://www.instagram.com/p/CTxIqRrsCxO/,comments7210585509820285775.csv
99,100,philshallburn,"4 Tage noch... obwohl man weiß was passiert ist es komplett herzzerreißend😣 Und hier nochmal ein großes Lob an die Leute hinter dem Projekt! Alles ist so unglaublich nahbar und direkt. So ein wichtiges Thema so gut an Leute zu bringen ist viel wert! Und als jmd dessen jüdischer Ur-Großvater erschossen wurde und Opa nur knapp im KZ überlebt hat kann ich sagen: es ist gut, dass solche Projekte dafür sorgen, dass diese schrecklichen Zeiten niemals in Vergessenheit geraten!",2022-02-14T19:33:39.000Z,488 likes,-,https://www.instagram.com/p/CZ-CyQlMDUF/,comments6030069363728820937.csv
159,92-4,eva.buecherfrau,"@ichbinsophiescholl Tatsächlich habe ich den Tag gestern genutzt, um meine Eltern zum 9.11.38 zu befragen. Sie waren damals 5 Jahre alt. Aber die zerstörten , sehr beliebten jüdischen Geschäfte, zB Kaufhaus Uhlfelder in München, die davor postierten, aggressiven SA-Schlägertrupps haben sogar die beiden als Kinder geschockt. Mein Vater erzählt, er könne sich nicht mehr erinnern, wie er mit meinem Großvater in die Stadt gekommen sei. Was gesprochen wurde. Aber dieses Bild hat sich eingebrannt zusammen mit einem Gefühl von Trauer und ohnmächtiger Wut.",2021-11-10T09:06:11.000Z,3 likes,92,https://www.instagram.com/p/CWEK2fXMuwx/,comments850110884387814236.csv
4,3-2,polterrick,"@ichbinsophiescholl ja und was ist mit all den anderen Erfahrungen, die er so im Osten machen durfte und musste?! Das konnte man ja wohl damals leider nicht so in die Feldpost schreiben. Vielleicht wäre aber hier mal ein etwas weiter gefasster Rahmen zur Wehrmacht in Russland nötig gewesen. Also ich weiß was mein Großvater da gemacht hat als Kettenhund. „Partisanen“ und Untermenschen erschießen. Zu Hauf. Ich hab mich als Kind immer gefragt warum er davon nie erzählen wollte. Lieber über sein Leiden in Sibirien. Aber seine Fotoalben waren für mich dann böse Aufschlussreich, als ich sie als Geschichtsstudent studierte.",2022-02-21T22:09:02.000Z,3 likes,3,https://www.instagram.com/p/CTPE6WSMqHO/,comments7112534007855354463.csv
33,17,green_brown_eyes,"Ich weiß zwar nicht viel über die Soldatenzeit meiner Urgroßväter, aber was mich richtig berührt hat, ist dass ein Urgroßvater mütterlichseits wohl am Valentinstag 1947 aus der russischen Kriegsgefangenschaft nach Hause kam.",2021-08-31T21:15:42.000Z,19 likes,-,https://www.instagram.com/p/CTPE6WSMqHO/,comments7112534007855354463.csv
11,11,buecherjunge_dd,"Da wäre ich vorsichtiger. Es geht ja nicht nur darum, was Sophie sich denken konnte, sondern auch, was Robert Scholl alles vom Krieg erzählte oder nicht. Mein Großvater hat eher nichts von der Front und wenig von der sowjetischen Kriegsgefangenschaft erzählt, obwohl ich sehr zeitig Soldat werden wollte und dann auch wurde. Nun erzählt einzig das geschnitzte Schachbrett vom Hunger und davon, dass er für solche Dinge Lebensmittel von sowjet. Offizieren eintauschen konnte, Zucker zum Beispiel.",2021-08-26T14:47:58.000Z,1 like,-,https://www.instagram.com/p/CTCd6mxjNRX/,comments-1422782014079165493.csv
68,24-4,fraunora.h,"Meinen Großvater, Jahrgang 1903, haben die Erlebnisse des Ersten Weltkriegs sehr erschüttert. Er hat seinen Vater euphorisch in den Krieg verabschiedet. Mit Ende des Ersten Weltkriegs war er zum Pazifisten geworden. Sein eigener Vater wurde im Ersten Weltkrieg verwundet. Die Geschichte hat es bis in meine Generation geschafft, weil auch mein Vater sie noch erzählt hat. Bei allem, was ich - auch im Buch von Maren Gottschalk und in den Briefen Sophie Scholls - lese, bei dem Mut und der scharfsinnigen Konsequenz, in der Sophie Scholl denkt, glaube ich kaum, dass sie ausgerechnet vor dem Alltag der Soldaten die Augen verschlossen hat. Sie hat eher von sich selbst verlangt, genau hinzusehen, um ein Bild zu haben und eine Haltung zu entwickeln.",2021-08-26T14:37:39.000Z,8 likes,24,https://www.instagram.com/p/CTCd6mxjNRX/,comments-1422782014079165493.csv
7,7,sdeandl,Das Werk meines Urgroßvaters sollte ursprünglich nicht verbrannt werden. Er hat sich dagegen gewehrt.,2021-05-20T04:25:31.000Z,0,-,https://www.instagram.com/p/COsqM85qZx2/,comments6833525200870954952.csv
366,309,jmd966,"Mein Großvater Karl Schwarz ist an der Nordfront, er wird erst 1948 nach Hause kommen!😢",2021-05-10T17:08:55.000Z,1 like,-,https://www.instagram.com/p/COsqM85qZx2/,comments6833525200870954952.csv
194,86-9,jones_osterfeld,"@erdbeerglueck Ich bin froh, dass mein Großvater den 2. Weltkrieg überlebt hat und nicht gefallen ist. Und ansonsten haben Sie den Sinn und den Aufbau der hier aufbereiteten historischen Zusammenhänge offensichtlich nicht verstanden...",2021-05-22T21:28:44.000Z,10 likes,86,https://www.instagram.com/p/CPLYhQFnWAp/,comments-8968321985349809604.csv
227,86-42,gentianahime,"@mothcoat Man sollte sich bewusst machen, dass bei diesem Account auch Menschen mitlesen und kommentieren, die direkt von den Verbrechen der Wehrmacht betroffen waren oder ihren Angehörigen. Seit Tagen werden hier in den Kommentaren diese Verbrechen relativiert und der Opfer-Mythos angeblich unfreiwillig eingezogener Soldaten bemüht. Wenn er dann damit prahlt, dass sein Großvater bei der Wehrmacht war, dessen Verbrechen relativiert und auch noch für mitgefühl heischt, dann platzt mir als Angehörige von Menschen, die durch solche Großväter großes Leid erfahren haben, die Hutschnur.",2021-05-23T15:06:39.000Z,2 likes,86,https://www.instagram.com/p/CPLYhQFnWAp/,comments-8968321985349809604.csv
246,90-1,_frolleinschnabelstedt_,"Ich bin sowas von auf deiner Seite….hab noch Ergänzend was…..kz struthof im Elsass, Verdun, buchenwald …in Verdun liegen Verwandte von mir …. Mein Großvater war ein mitlaufender Nazi, meine Oma BDM- Mitglied. Sie hat nie verstanden, was da ablief….nie hinterfragt! Er auch nicht! Einfach mitgemacht…..Leider hatte ich nie die Gelegenheit als Erwachsene (die dann Historik studiert hat) detailliert nachzufragen. Opa war zu krank. Oma hat den BDM nur als Belustigung gesehen….den RAD hat sie nie als Mittel der NSDAP wahrgenommen. Sie hat gearbeitet bis er zurückkam. Dann haben sie einen Laden übernommen und meine Mama gezeugt. Über den Krieg wurde einfach nur geschwiegen…😢",2021-05-22T15:05:02.000Z,3 likes,90,https://www.instagram.com/p/CPLYhQFnWAp/,comments-8968321985349809604.csv
18,16,katja.rufa,"Wenn ich mich richtig erinnere, gehört mein Großvater zu den Soldaten, die damals in Stalingrad eingekesselt waren.
Er hat nie viel erzählt von der Zeit. Wenn, dann davon wie sehr sie Hunger gelitten haben. Einmal hat er davon erzählt, dass sie das Fleisch, eines seit mehreren Tagen toten Pferdes gegessen haben. Als meine Großmutter fragte, ob sie denn das Fleisch zumindest gebraten hätten, war seine Antwort nur, wir hatten kein Feuer.
Selbst bis ins hohe Alter wurde bei meinen Großeltern kein noch so trockenes Brotstück weg geworfen. Wenn meine Großmutter darum bat, dass frische Brot zu essen und das alte Stück wegwerfen wollte, sagte mein Opa immer, wir wären froh gewesen, wir hätten damals trockenes Brot zum essen gehabt.",2021-09-30T20:42:33.000Z,181 likes,-,https://www.instagram.com/p/CUclbiQsezP/,comments1431119132924083735.csv
398,214-1,devilspetal,"@saira.iram.rajput nein, wirklich nicht. Mütterlicherseits wurde mein Großvater und seine Familie aus dem ehemaligen Jugoslawien vertrieben (deutsche Staatsbürger) und kamen mit dem Ochsenkarren zurück, während mein Großonkel väterlicherseits mit ungefähr 23 Jahren gefallen ist. Nie wieder.",2021-06-29T18:33:46.000Z,1 like,214,https://www.instagram.com/p/CQtcnzhsjDH/,comments-4138837821188628794.csv
3,4,gartenfamilie,Mein herzliches Beileid. Mein Großvater ist 1929 geboren und sollte in den letzten Kriegstagen als Flakhelfer dienen. Der Vater seines Klassenkameraden hat sie aufgegabelt und zurück geschickt.. zum Glück,2021-08-30T18:11:08.000Z,0,-,https://www.instagram.com/p/CS6MvKtD91X/,comments6008866202857888736.csv
11,10,nothingkix,Meine Großvater haben beide überlebt aber auch von schrecklichen Dingen gesprochen. Sowas prägt einen. Sinnlose massen an Menschen wurden ins Unglück gestürzt. Mein Beileid für diesen Verlust. Es werden noch viele Folgen für die Freiheit Europas.,2021-08-24T20:56:01.000Z,0,-,https://www.instagram.com/p/CS6MvKtD91X/,comments6008866202857888736.csv
17,16,michael.gebler,"Mein Urgroßvater hat zwei seiner drei Söhne im Krieg verloren. Ich habe letztens die Todesnachricht gelesen von meinem Onkel, in welchem aufopferungsvollen „Heldentod“ er gefallen sei. Krieg ist immer sinnlos!",2021-08-24T15:21:18.000Z,0,-,https://www.instagram.com/p/CS6MvKtD91X/,comments6008866202857888736.csv
22,21,curvy_chriss,"Mein Urgroßvater war auch an der Ostfront. Immer wieder hat er uns seine Schulter gezeigt, er hatte einen Durchschuss... Hinter ihm stand ein Kamerad, den die Kugel dann noch tödlich traf... Diese Geschichte erzählte er immer wieder... Und dass er in Russland dann in Gefangenschaft kam man da auch Hunde gegessen hat weil man so Hunger hatte.",2021-08-24T10:08:57.000Z,0,-,https://www.instagram.com/p/CS6MvKtD91X/,comments6008866202857888736.csv
57,55,tgverden,"Liebe Sophie, mein Beileid für deinen Verlust. Mein Großvater ist 1944 schwer verletzt worden und in Britischer Gefangenschaft wieder zum Glück genesen. Zum Glück und mit Dank an die „Feinde“. Sonst wäre ich nicht hier, denn meine Mutter ist erst danach entstanden.",2021-08-23T17:44:53.000Z,1 like,-,https://www.instagram.com/p/CS6MvKtD91X/,comments6008866202857888736.csv
81,79,_mama_anja_,"Mein Urgroßvater ist seit 1945 vermisst. Ich konnte zwar die Zeit von 1944 bis 1945 bis kurz vor seinen Tod rekonstruieren mit jahrelanger Recherche, aber was sein tatsächliches Schicksal ist, werden wir als Familie wohl nie erfahren 😩",2021-08-23T13:41:20.000Z,1 like,-,https://www.instagram.com/p/CS6MvKtD91X/,comments6008866202857888736.csv
82,80,tigerlily2.3,"Mein Großvater war in beiden Weltkriegen Er hatte einen Streifschuss im Nacken, der seinen Kameraden tötete. Meine eine Oma hatte immer Herzattacken. Sie erzählte immer, dass sie das seit den Bomben aufs Ruhrgebiet hatte.Sie lebten am Rande des Sauerkands u konnten die Lichter der Bomben über Dortmund u Essrn sehen. Meine andere Oma war in der Partei u rechts. Der älteste Sohn kam kurz vor Schluss noch zu den Fliegern. Er sei abgeschossen worden erzählte sie immer. Nach unserer Recherche war er aber desertiert, Zuhause verhaftet u erschossen worden. Ich werde niemals vergessen wie die meiner ersten Freundin, Friederike aus Griechenland. Ihre Familie wohnte in einem Haus, dass meiner Oma gehörte. Diese Oma sagte Friderike dürfe nicht unser WC benutzen, sie sei dreckig!!!! Ich werde das niemals vergessen u bin sehr dankbar, dass meine Ma, *1935 mir eine weisse u schwarze Puppe kaufte u durchsetzte dass mein Freund aus der 3.Klasse, Barbaro aus Sizilien jeden Tag zum Essen zu uns kommen durfte. Wenn ich heutewieder diese AfD Plakate sehe könnte ich k......Seit meinem 13.Lebensjahr interessiere ich mich für Politik. Zuerst bei der CDU.Ich machte Wochnseminare. Mein letztes bei der CDU war ein Wirtschaftsseminar. Dort sagte ein Referent: Wir sind ja jetzt unter uns: Wir werden Afrika niemals! soviel direkte ! Entwicklungshilfe geben, sodass wir uns einen neuen Wirtschaftskonkurrenten heranzüchten. Sorry, musste ich mal loswerden.Auf Grund meiner Familie habe ich mich mit vielen Themen beschäftigt u bin nun tatsächlich in einer Partei.Nichts tun heisst nichts verändern.Danke Team Weisse Rose!!!!!👏🔥🙌😍",2021-08-23T13:37:51.000Z,1 like,-,https://www.instagram.com/p/CS6MvKtD91X/,comments6008866202857888736.csv
85,83,bobilotta,"Der kleine Bruder meines Großvaters ist mit 19 an der Ostfront gefallen. Zu einem Zeitpunkt als man eigentlich schon keine Chance mehr hatte. Einfach verheizt. Es kamen noch Briefe an die Mutter, in denen er die schreckliche Situation beschreibt und man merkt ganz deutlich seine Angst. Nur Tage später kam die Todesnachricht. Man darf so etwas einfach nicht vergessen. Krieg ist so sinnlos.",2021-08-23T13:02:56.000Z,2 likes,-,https://www.instagram.com/p/CS6MvKtD91X/,comments6008866202857888736.csv
98,96,stefanesser8315,"Mein Großvater war bei der Marine und hat viele Freunde im Krieg verloren. Er selbst ist mehrmals aus dem verdammten Zufall heraus, dem Tod entkommen. Er selbst hatte immer Häppchen weiße davon erzählt, weil er es einfach nicht verkraften konnte, darüber zu sprechen.",2021-08-23T12:18:08.000Z,2 likes,-,https://www.instagram.com/p/CS6MvKtD91X/,comments6008866202857888736.csv
119,110,tim.richter.750983,Mein Großvater war auch an der Ostfront und ist niemals zurückgekehrt. Das letzte Lebenszeichen stammt aus 1944 und der heutigen Ukraine. Seit dem wird er vermisst. Mein Vater (damals sechs Jahre) sucht bis heute nach seinem Grab!,2021-08-23T11:33:39.000Z,4 likes,-,https://www.instagram.com/p/CS6MvKtD91X/,comments6008866202857888736.csv
136,120,die_die_im_wald_wohnt,Mein Großvater wurde am 17.9.1942 in Sewastopol schwer verwundet. Jedes Jahr am 17.9. zur gleichen Uhrzeit hat er sich und uns daran erinnert. Am 17.9.2008 starb er im Alter von 85 Jahren. Das Jahr hat 365 Tage… 🤍,2021-08-23T10:56:13.000Z,6 likes,-,https://www.instagram.com/p/CS6MvKtD91X/,comments6008866202857888736.csv
160,139,die_deldum,"Mein Großvater ist am Ende des Krieges sehr jung eingezogen worden, er hat überlebt, seine Erfahrungen haben ihn als Alter Mann wieder eingeholt (und er hat sich echt einen Aluminium Hut gebastelt weil er Angst vor allem hatte). Mein anderer Opa ist jung genug gewesen zu Kriegsende. Aber er würde von seinem Elternhaus verstoßen, weil er mit einem Flüchtlingsmadel (meiner Oma, geflohen aus Polen) angebandelt hat. Sie hat 3 Jahre bei einer Familie gelebt die Geflüchtete/Vertriebene aufgenommen hat. Mit 13, mit der Tochter der Familie in einem Bett geschlafen. Sie ist jetzt 90 und muss immer lachen wenn Leute behaupten es wäre kein Platz oder Geld für Menschen in Not da.",2021-08-23T09:26:11.000Z,488 likes,-,https://www.instagram.com/p/CS6MvKtD91X/,comments6008866202857888736.csv
53,22-24,lavieenschokie,"@zuagroastebayrischeschwaebin

Hmmm ich denke wir haben einfach verschiedene Perspektiven. Es geht mir auch nicht darum recht zu haben, sondern diese Perspektiven zu weiten.

Diskriminierung hängt für mich sehr wohl auch mit Absicht und Nicht- Absicht und von ihrem bewusstem Einsatz ab. Und natürlich auch immer von der Person oder Gruppe die diskriminiert wird und deren Perspektive darauf.
Erst wenn ich Bewusstsein für etwas habe, kann ich es auch ändern. Dass viele Menschen damals absichtlich und ganz bewusst Diskriminierung von Anderen tolerierten, in Kauf nahmen oder sogar teilten, ist geschichtswissenschaftlicher Konsens.
Und es ist wichtig dort genau hinzuschauen und sich damit zu befassen wie es in einer Gesellschaft möglich war und immer noch ist.

Trotzdem aber gibt es auch Grauzonen. Mein Großvater der keinen Bezug zu Menschen anderer Hautfarbe hatte, sprach über diese so wie er es gehört hatte und wie er es nachprüfen konnte. Ist er deshalb ein Rassist weil er so sprach, oder ist das rassistisches Gedankengut. Und hier würde ich widersprechen, denn er starb als Widerstandskämpfer, sich einsetzend dafür dass alle Menschen egal welcher Herkunft gut leben konnten.

Es muss letzten Endes niemand der anderen Person zustimmen. Es kann auch stehen bleiben als das was es ist lebendige Diskussion.",2021-09-15T14:46:51.000Z,1 like,22,https://www.instagram.com/p/CTz0Bxnqoi1/,comments6367558600168361981.csv
11,12,humans_sucks_,"@ichbinsophiescholl, hey (Sophie😉), mein Großvater der jetzt- (1942) in deinem Alter ist, feiert heute seinen 21. Geburtstag... Ebenfalls an der Ostfront, weshalb ""feiern"" wohl nicht der richtige Ausdruck ist... Unglaublich für welchen Wahnsinn ( ""Vaterland"")] unsere jungen Männer dort regelrecht verbraten werden😢. Da kann man für Fritz und meinen Großvater (er heisst übrigens Hans😉) beten, obwohl ich selbst nicht einmal religiös bin. ❤️🙏🏻🖤",2021-05-19T17:58:35.000Z,1 like,-,https://www.instagram.com/p/CPBa7dTnZDz/,comments8984968377741028930.csv
